epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.363,3.16476,3.39788,0.00692,0.03404,0.14008,0.0328,0.0138,2.77264,2.8256,0.00709,0.000499382,0.000499382,0.0672073
2,199.979,2.51711,2.4955,0.00492,0.43269,0.12748,0.0714,0.032,2.27511,2.09781,0.00563,0.000998445,0.000998445,0.034373
3,299.027,2.29679,2.2198,0.00434,0.22862,0.1409,0.07728,0.03694,2.27967,2.13546,0.00544,0.00149377,0.00149377,0.00153497
4,397.494,2.16183,2.04998,0.00401,0.38477,0.1714,0.11768,0.05673,2.03323,1.8191,0.00483,0.00148738,0.00148738,0.00148738
5,493.678,2.0775,1.94737,0.00379,0.2144,0.1825,0.1328,0.0647,1.9752,1.74189,0.00456,0.00147762,0.00147762,0.00147762
6,592.313,2.03297,1.87698,0.00365,0.21994,0.20483,0.14304,0.07216,1.92356,1.72447,0.00444,0.00146513,0.00146513,0.00146513
7,690.661,1.98277,1.81627,0.00355,0.33795,0.22145,0.15557,0.07867,1.90637,1.67658,0.00436,0.00144997,0.00144997,0.00144997
8,788.614,1.94801,1.76387,0.00349,0.37563,0.21796,0.1733,0.08916,1.86468,1.6224,0.00416,0.00143219,0.00143219,0.00143219
9,887.938,1.93355,1.74424,0.00339,0.29034,0.23564,0.19482,0.09999,1.81553,1.54285,0.00412,0.00141187,0.00141187,0.00141187
10,986.716,1.91392,1.71123,0.00336,0.30318,0.23727,0.19488,0.10114,1.78675,1.53486,0.00404,0.00138908,0.00138908,0.00138908
11,1084.42,1.89662,1.68411,0.00332,0.3449,0.23751,0.20472,0.10593,1.77173,1.50505,0.004,0.00136392,0.00136392,0.00136392
12,1182.41,1.86483,1.64873,0.00327,0.36956,0.24332,0.21089,0.11184,1.76748,1.48571,0.00392,0.00133649,0.00133649,0.00133649
13,1280.37,1.85384,1.63413,0.00325,0.32927,0.2582,0.21933,0.1163,1.73772,1.45201,0.00387,0.00130689,0.00130689,0.00130689
14,1379.21,1.84619,1.60534,0.00318,0.34176,0.26802,0.23035,0.12376,1.71409,1.44053,0.0038,0.00127524,0.00127524,0.00127524
15,1477.1,1.83873,1.6051,0.00318,0.35488,0.2622,0.23744,0.12926,1.69904,1.42552,0.00375,0.00124166,0.00124166,0.00124166
16,1576.34,1.81904,1.5795,0.00313,0.37699,0.26264,0.24074,0.12963,1.689,1.40676,0.00371,0.0012063,0.0012063,0.0012063
17,1675.07,1.8157,1.5689,0.00311,0.37176,0.27235,0.24847,0.13486,1.67867,1.3921,0.00369,0.00116928,0.00116928,0.00116928
18,1773.97,1.78936,1.5356,0.00305,0.36146,0.27286,0.24896,0.1361,1.66855,1.38683,0.00362,0.00113075,0.00113075,0.00113075
19,1868.46,1.79083,1.53913,0.00306,0.3748,0.28322,0.2546,0.13833,1.66198,1.37174,0.0036,0.00109087,0.00109087,0.00109087
20,1963.11,1.78281,1.52112,0.00301,0.3833,0.28339,0.25515,0.13879,1.6574,1.36648,0.00359,0.00104979,0.00104979,0.00104979
21,2060.85,1.77404,1.51362,0.00301,0.36621,0.29005,0.26158,0.14434,1.64344,1.35651,0.00356,0.00100767,0.00100767,0.00100767
22,2158.39,1.75952,1.4892,0.00298,0.38639,0.28633,0.26331,0.14459,1.6367,1.34519,0.00354,0.000964692,0.000964692,0.000964692
23,2257.18,1.75882,1.49092,0.00295,0.38617,0.28806,0.26613,0.14667,1.63435,1.33934,0.00353,0.000921009,0.000921009,0.000921009
24,2349.41,1.75106,1.47904,0.00296,0.38417,0.28984,0.27093,0.15001,1.62677,1.33058,0.0035,0.0008768,0.0008768,0.0008768
25,2441.82,1.73804,1.46354,0.00293,0.39193,0.29611,0.27217,0.15116,1.62059,1.3244,0.00349,0.000832238,0.000832238,0.000832238
26,2534.34,1.73176,1.45663,0.00291,0.38959,0.29374,0.2727,0.15139,1.61612,1.31973,0.00348,0.0007875,0.0007875,0.0007875
27,2625.79,1.72964,1.44768,0.0029,0.39424,0.29587,0.27677,0.15347,1.61218,1.3137,0.00346,0.000742762,0.000742762,0.000742762
28,2717.81,1.71896,1.43624,0.00288,0.39402,0.29817,0.27741,0.15387,1.61229,1.31101,0.00346,0.0006982,0.0006982,0.0006982
29,2810.47,1.71273,1.42681,0.00285,0.39794,0.29634,0.27942,0.15543,1.60608,1.30506,0.00344,0.000653991,0.000653991,0.000653991
30,2903.17,1.70545,1.41718,0.00284,0.39283,0.30134,0.28104,0.15601,1.60193,1.29962,0.00343,0.000610308,0.000610308,0.000610308
31,2994.47,1.69954,1.40767,0.00282,0.39792,0.30337,0.282,0.15685,1.59915,1.29564,0.00342,0.000567325,0.000567325,0.000567325
32,3087.28,1.68956,1.39538,0.00281,0.39892,0.30603,0.28268,0.1577,1.59598,1.29244,0.00342,0.000525211,0.000525211,0.000525211
33,3178.9,1.68562,1.38851,0.0028,0.3999,0.30579,0.28365,0.15852,1.59453,1.28878,0.00341,0.000484132,0.000484132,0.000484132
34,3271.14,1.68478,1.38397,0.00279,0.39715,0.30921,0.28529,0.15879,1.59277,1.2856,0.00341,0.000444251,0.000444251,0.000444251
35,3362.59,1.67293,1.37427,0.00277,0.40185,0.30767,0.28573,0.15929,1.59111,1.28265,0.0034,0.000405723,0.000405723,0.000405723
36,3454.92,1.66706,1.36692,0.00274,0.40334,0.30858,0.28656,0.15977,1.59012,1.28071,0.0034,0.000368703,0.000368703,0.000368703
37,3547.88,1.66231,1.35617,0.00273,0.40588,0.30866,0.28734,0.15998,1.58845,1.27862,0.0034,0.000333335,0.000333335,0.000333335
38,3638.68,1.65775,1.35113,0.00274,0.40526,0.31132,0.28792,0.16038,1.58703,1.27698,0.00339,0.00029976,0.00029976,0.00029976
39,3731.56,1.65305,1.34741,0.00271,0.40417,0.31179,0.28855,0.16076,1.58633,1.27514,0.00339,0.00026811,0.00026811,0.00026811
40,3823.82,1.64736,1.33994,0.00271,0.40549,0.31124,0.28879,0.16061,1.58547,1.27388,0.00339,0.000238509,0.000238509,0.000238509
41,3902.89,1.61654,1.30693,0.00274,0.40281,0.31289,0.28905,0.16086,1.58519,1.27246,0.00339,0.000211075,0.000211075,0.000211075
42,3981.89,1.60729,1.28942,0.00271,0.40333,0.31261,0.28944,0.16123,1.58452,1.27128,0.00338,0.000185916,0.000185916,0.000185916
43,4060.67,1.60203,1.28561,0.0027,0.40322,0.31206,0.28998,0.16136,1.58403,1.27031,0.00338,0.000163131,0.000163131,0.000163131
44,4139.67,1.60269,1.28096,0.00269,0.40349,0.31215,0.29009,0.16139,1.58328,1.26939,0.00338,0.000142811,0.000142811,0.000142811
45,4218.35,1.59472,1.26849,0.00269,0.40351,0.3131,0.29033,0.16156,1.58241,1.26852,0.00338,0.000125034,0.000125034,0.000125034
46,4296.84,1.59038,1.26477,0.00267,0.4007,0.31449,0.2906,0.16197,1.5817,1.26717,0.00337,0.000109872,0.000109872,0.000109872
47,4375.73,1.58863,1.26328,0.00267,0.40276,0.31437,0.29092,0.16198,1.58118,1.26607,0.00337,9.73845e-05,9.73845e-05,9.73845e-05
48,4454.43,1.58714,1.26014,0.00266,0.4017,0.31466,0.29117,0.16229,1.58073,1.26507,0.00337,8.76203e-05,8.76203e-05,8.76203e-05
49,4533.56,1.59132,1.26235,0.00266,0.40706,0.31371,0.29134,0.16259,1.5803,1.2642,0.00337,8.06183e-05,8.06183e-05,8.06183e-05
50,4612.56,1.58425,1.25662,0.00266,0.4085,0.31351,0.29156,0.16255,1.57979,1.26344,0.00337,7.6406e-05,7.6406e-05,7.6406e-05
